"CountryCode";"CountryName";"Continent";"Region";"Population";"GovernmentForm";"HeadOfState";"Capital"
"THA";"Thailand";"Asia";"Southeast Asia";61399000;"Constitutional Monarchy";"Bhumibol Adulyadej";3320
"TJK";"Tajikistan";"Asia";"Southern and Central Asia";6188000;"Republic";"Emomali Rahmonov";3261
"TKL";"Tokelau";"Oceania";"Polynesia";2000;"Nonmetropolitan Territory of New Zealand";"Elisabeth II";3333
"TKM";"Turkmenistan";"Asia";"Southern and Central Asia";4459000;"Republic";"Saparmurad Nijazov";3419
"TMP";"East Timor";"Asia";"Southeast Asia";885000;"Administrated by the UN";"JosÃ© Alexandre GusmÃ£o";1522
"TON";"Tonga";"Oceania";"Polynesia";99000;"Monarchy";"Taufa'ahau Tupou IV";3334
"TTO";"Trinidad and Tobago";"North America";"Caribbean";1295000;"Republic";"Arthur N. R. Robinson";3336
"TUN";"Tunisia";"Africa";"Northern Africa";9586000;"Republic";"Zine al-Abidine Ben Ali";3349
"TUR";"Turkey";"Asia";"Middle East";66591000;"Republic";"Ahmet Necdet Sezer";3358
"TUV";"Tuvalu";"Oceania";"Polynesia";12000;"Constitutional Monarchy";"Elisabeth II";3424
"TWN";"Taiwan";"Asia";"Eastern Asia";22256000;"Republic";"Chen Shui-bian";3263
"TZA";"Tanzania";"Africa";"Eastern Africa";33517000;"Republic";"Benjamin William Mkapa";3306
"UGA";"Uganda";"Africa";"Eastern Africa";21778000;"Republic";"Yoweri Museveni";3425
"UKR";"Ukraine";"Europe";"Eastern Europe";50456000;"Republic";"Leonid KutÂšma";3426
"UMI";"United States Minor Outlying Islands";"Oceania";"Micronesia/Caribbean";0;"Dependent Territory of the US";"George W. Bush";0
"URY";"Uruguay";"South America";"South America";3337000;"Republic";"Jorge Batlle IbÃ¡Ã±ez";3492
"USA";"United States";"North America";"North America";278357000;"Federal Republic";"George W. Bush";3813
"UZB";"Uzbekistan";"Asia";"Southern and Central Asia";24318000;"Republic";"Islam Karimov";3503
"VAT";"Holy See (Vatican City State)";"Europe";"Southern Europe";1000;"Independent Church State";"Johannes Paavali II";3538
"VCT";"Saint Vincent and the Grenadines";"North America";"Caribbean";114000;"Constitutional Monarchy";"Elisabeth II";3066
"VEN";"Venezuela";"South America";"South America";24170000;"Federal Republic";"Hugo ChÃ¡vez FrÃ­as";3539
"VGB";"Virgin Islands, British";"North America";"Caribbean";21000;"Dependent Territory of the UK";"Elisabeth II";537
"VIR";"Virgin Islands, U.S.";"North America";"Caribbean";93000;"US Territory";"George W. Bush";4067
"VNM";"Vietnam";"Asia";"Southeast Asia";79832000;"Socialistic Republic";"TrÃ¢n Duc Luong";3770
"VUT";"Vanuatu";"Oceania";"Melanesia";190000;"Republic";"John Bani";3537
"WLF";"Wallis and Futuna";"Oceania";"Polynesia";15000;"Nonmetropolitan Territory of France";"Jacques Chirac";3536
"WSM";"Samoa";"Oceania";"Polynesia";180000;"Parlementary Monarchy";"Malietoa Tanumafili II";3169
"YEM";"Yemen";"Asia";"Middle East";18112000;"Republic";"Ali Abdallah Salih";1780
"YUG";"Yugoslavia";"Europe";"Southern Europe";10640000;"Federal Republic";"Vojislav KoÂštunica";1792
"ZAF";"South Africa";"Africa";"Southern Africa";40377000;"Republic";"Thabo Mbeki";716
"ZMB";"Zambia";"Africa";"Eastern Africa";9169000;"Republic";"Frederick Chiluba";3162
"ZWE";"Zimbabwe";"Africa";"Eastern Africa";11669000;"Republic";"Robert G. Mugabe";4068
